LATITUDE,LONGITUDE,ELEVATION,TMAX
39.0483,-79.4406,991.8,32.9
41.8814,-92.2764,246.9,29.1
32.8336,-116.7392,622.1,61.4
36.3225,-95.5808,179.2,44.9
43.6542,-92.9739,365.5,21
30.3167,-89.9333,3.4,60.6
46.4847,-104.0658,893.1,32.4
33.6189,-95.1667,146.3,53.5
33.4408,-79.5672,10.7,58.9
42.0496,-91.5881,247.8,26.9
40.98,-110.85,2438.4,36.5
44.58,-107.2,2435.4,35.4
43.7072,-85.4822,283.5,24.7
46.40472,-94.13083,372.2,16.4
33.9153,-91.7711,79.2,53.5
39.9617,-86.0585,229.2,35.8
28.47361,-82.45444,23.5,70.3
35.1072,-82.6255,975.4,45.6
48.57,-115.45,1706.9,29.4
45.7502,-108.5696,970.8,38.4
32.48333,-80.71667,11.3,62.1
35.0216,-106.6938,1510.3,47.9
48.61,-95.1816,392.9,9.6
31.3205,-92.4611,26.5,59.7
42.1197,-122.5633,847.3,53
41.35789,-77.92644,283.5,33.7
36.3689,-83.8986,505.1,45.6
36.0908,-106.0566,1731.3,39.8
42.3075,-85.25111,282.9,27.6
39.5031,-117.0814,1912.6,44.4
42.7158,-109.6897,2115.3,24.9
37.66688,-93.10691,326.4,40.2
38.7699,-84.0127,154.8,41.4
44.5042,-114.2228,1600.2,32.2
45.8162,-106.2329,844.3,38.2
30.4144,-97.7664,268.2,59.6
31.3953,-92.2907,36,60.3
36.9647,-86.4238,160.9,45.2
39.4716,-76.1697,17.4,41.2
29.79556,-82.91778,9.1,68.8
33.3866,-97.7163,307.8,53.8
38.2244,-109.2783,2121.4,37
47.7121,-91.9533,451.4,11.5
40.7244,-95.0191,298.7,32.2
36.7619,-96.0116,217.9,45.8
42.2547,-118.9792,1548.4,41.4
46.8705,-68.0173,190.2,21
39.74062,-104.12742,1554.8,42.2
40.28,-111.61,2369.5,34.8
39.26,-106.63,3081.5,29.1
46.7873,-90.8641,187.5,21.3
44.47,-112.98,2697.5,33.7
39.8815,-77.3506,216.4,37
47.5033,-94.9281,419.7,13.4
44.94,-109.57,2852.9,26.2
42.3497,-116.69,1493.5,41
32.6997,-93.6619,61,53.3
38.9036,-114.8142,2225,39.7
38.57139,-90.15722,125.9,38.6
36.7683,-96.0261,217.9,46
38.98333,-76.46667,2.4,45.6
41.86778,-84.07944,242.6,29.5
44.6828,-107.0089,1282.6,38.7
48.6333,-115.5833,1310.6,32.9
44.93651,-109.13736,1254.9,38.1
39.32,-114.62,2773.7,33.3
37.2824,-109.5575,1316.4,39.5
42.4941,-108.7288,2334.8,26.6
40.3535,-83.7754,358.4,33
36.1092,-92.1636,106.7,45.7
42.6178,-71.9159,337.7,30.1
42.6617,-71.9359,349.3,30.9
40.7324,-92.8899,275.8,31.8
39.46,-114.65,2286,40.2
42.4697,-73.9267,185,32.1
33.3063,-92.4832,23.5,55.8
46.56,-111.29,2423.2,30
43.0675,-83.5919,230.7,29.5
40.5903,-116.4749,1432.6,43.2
44.11,-103.98,2100.1,34.9
43.26308,-78.19853,148.1,27.7
41.8857,-98.5631,662.9,33.5
42.1153,-88.1639,266.7,26.3
33.0097,-83.7397,91.4,59.4
37.87,-109.45,2742.6,32.6
48.71667,-94.6,329.8,10.3
42.85186,-106.28434,1567.6,39.4
34.8536,-116.7858,584.3,60.2
42.8374,-103.0981,1004,40.3
34.3617,-118.4217,1219.2,53
33.6634,-82.1897,121.9,56
30.84583,-85.60139,25.9,63.9
32.7547,-104.3835,1026,56.4
42.1013,-77.2344,304.5,31.9
38.9933,-105.8919,2718.8,26.5
34.63,-84.0975,531.3,49.2
48.8624,-97.7015,274,9.8
31.30889,-86.39389,94.5,63.8
35.4344,-119.0542,149,63.3
43.77,-114.42,1962.9,32.6
33.8186,-97.7336,298.7,51.6
33.6186,-114.7142,120.4,65.9
34.8847,-99.2964,464.8,49.9
33.8767,-117.3089,524.3,65.4
48.8719,-106.9456,777.2,26.9
