LATITUDE,LONGITUDE,ELEVATION,TMAX
44.4503,-121.13,987.6,43.6
45.6453,-114.6278,2468.9,31.8
46.2111,-119.1011,118.9,43.3
46.391,-112.7974,1478.3,33.1
38.84,-119.89,2608.2,40.1
45.3192,-116.8675,1850.4,31.8
42.4172,-115.2278,1524,38.7
44.3,-115.23,2145.8,35.4
46.15,-122.15,1048.5,41
42.8731,-110.9069,1934,27.7
41.6853,-122.5942,914.4,48.3
37.5764,-113.715,1621.5,41.2
34.3591,-116.5378,965.3,55.3
31.445,-110.28,1645.9,57.1
49.0833,-116.5,646,37.5
38.68,-119.96,2443.6,41.3
45.0316,-110.7036,1607.8,34.2
36.3642,-120.1561,86.9,61.8
39.3817,-119.815,1524,44.2
43.1497,-124.4019,6.1,58.5
45.19,-121.69,1161.3,37.7
46.76,-115.3,1914.1,34.2
46.47,-113.39,1706.9,36.9
48.13,-113.02,2103.1,31.5
38.85,-120.08,2337.8,41.9
39.09,-114.9,2804.2,32.6
47.98,-114.35,1722.1,31.2
45.1,-121.75,1036.3,38.5
43.19172,-112.34522,1371.3,32
37.02872,-112.53606,1493.5,48.5
44.6678,-111.1006,2032.1,26.3
45.04,-116.13,1905,34.9
42.8667,-111.2167,2286,30.9
40.8397,-111.8313,1624.6,37.7
44.0494,-123.3702,147.8,46.1
44.385,-115.55,2042.2,32.4
38.5208,-115.5444,1425.9,44
43.2095,-110.40323,2040,25
47.68,-114,1499.6,31.8
44.4856,-109.8964,2286,32
41.97,-118.19,1981.2,40.1
40.4005,-110.7586,2053.7,33.3
43.76,-116.1,1932.4,36.1
46.7186,-112.0017,1170.4,34.3
40.44474,-115.65798,1719.7,37.3
42.0792,-112.1833,1585,34.4
43.9481,-114.7561,2560.3,33
44.0569,-121.285,1115.6,44.4
38.72,-119.89,2477.7,40.5
46.9907,-112.0116,1062.8,39.7
43.6197,-114.8989,1981.2,35.9
38.4883,-120.325,1524,53.8
37.6417,-112.1722,2394.2,36.8
39.0911,-120.948,725.4,55
39.2077,-111.0125,1715.7,40.6
43.6425,-123.5828,41.8,51.2
42.05,-122.85,1844,39.4
37.3292,-121.2939,563.9,55.3
45.7212,-120.2064,84.4,42.4
45.4486,-122.1547,228,45.8
42.64,-120.95,1883.7,44.7
35.8842,-118.0517,2507.9,39.5
35.8644,-120.8031,163.7,62.6
35.07,-111.84,2194.6,45.5
41.7861,-122.0056,1645.9,45.5
44.95,-111.36,2392.7,26.9
37.8431,-118.4778,1661.2,51.2
35.4028,-119.47,68.6,62.7
37.8444,-120.2258,853.4,53.6
43.6231,-113.3872,1639.8,29.6
39.2472,-119.9419,1937.3,39.5
41.3322,-120.4725,1332.6,45.8
33.0758,-116.5908,1292.4,53.1
43.9592,-115.8453,1353.3,37.3
41.1833,-122.2736,661.4,50.1
39.56,-114.63,2360.4,37.1
44.5175,-120.9389,1107.9,42.6
45.2686,-122.3166,137.2,51.5
35.8456,-113.055,2063.5,44.3
45.6,-111.96,2529.8,32.7
44.44,-111.99,2090.9,27.7
37.875,-110.3878,1219.2,44.5
46.84,-116.12,1734.3,33.3
44.5734,-116.6754,807.7,29.9
46.67,-110.33,2316.5,30.8
34.5822,-119.9817,242.3,66
42.7778,-123.7294,1164.9,47.5
43.928,-124.1069,35.1,50.9
44.3489,-123.8853,593.1,49
42.7036,-121.9952,1274.1,42
44.45,-119.93,1783.1,38.8
44.9711,-118.9297,1158.2,42.8
40.7333,-123.2333,457.2,52.7
34.5591,-115.7441,197.5,65.4
35.7706,-115.9092,1524,50.1
41.53,-120.6714,1530.7,43.7
33.5417,-117.5917,213.4,66
43.5,-121.05,1385.3,42.5
34.1164,-112.3006,1600.2,52.8
41.0478,-123.6714,114.3,54.4
36.6992,-113.2072,1659.6,45.6
42.6314,-121.5597,2020.5,38.1
40.6306,-120.5028,1554.5,43.9
45.4803,-122.4663,137.2,47.2
38.9361,-119.6519,1560.6,47.7
39.3011,-117.5844,1889.8,43.3
38.0281,-122.7022,378,58.4
